 Age,M_Mtot,R_cm,logP,logT,logRho,logL,Kappa,Sint,Gradrad,Gradad,Gradtot,Tau,Lconv
  2.500000000000D+03,  1.000001440449D+00,  8.117741722101D+09,  6.907112297909D+00,  3.330893502693D+00, -3.956568281836D+00,  2.252504480704D+01,  1.415752391983D-01,  0.000000000000D+00,  1.569817136237D-03,  3.001422705162D-01,  1.569817136237D-03,  3.511191734215D+02,0
  2.500000000000D+03,  1.000001224523D+00,  8.113263675262D+09,  6.969426684724D+00,  3.331014834097D+00, -3.894403290838D+00,  2.252504480704D+01,  1.522064213257D-01,  0.000000000000D+00,  1.947084937489D-03,  3.006934051898D-01,  1.947084937489D-03,  4.328761281083D+02,0
  2.500000000000D+03,  1.000000977217D+00,  8.108813939781D+09,  7.031328507796D+00,  3.331164230742D+00, -3.832694660240D+00,  2.252504480704D+01,  1.637283036253D-01,  0.000000000000D+00,  2.413445001934D-03,  3.008205485673D-01,  2.413445001934D-03,  5.336699231206D+02,0
  2.500000000000D+03,  1.000000694135D+00,  8.104390311897D+09,  7.092844177177D+00,  3.331348131418D+00, -3.771421827472D+00,  2.252504480704D+01,  1.762164156473D-01,  0.000000000000D+00,  2.989493204771D-03,  3.004049708658D-01,  2.989493204771D-03,  6.579332246576D+02,0
  2.500000000000D+03,  1.000000370284D+00,  8.099990728412D+09,  7.153997195856D+00,  3.331574424877D+00, -3.710568749437D+00,  2.252504480704D+01,  1.897550011566D-01,  0.000000000000D+00,  3.700446253922D-03,  2.996486840703D-01,  3.700446253922D-03,  8.111308307897D+02,0
  2.500000000000D+03,  1.000000000000D+00,  8.095613274544D+09,  7.214807840040D+00,  3.331852762420D+00, -3.650118796252D+00,  2.252504480704D+01,  2.044385495881D-01,  0.000000000000D+00,  4.577118804720D-03,  2.985482742755D-01,  4.577118804720D-03,  1.000000000000D+03,0
  2.500000000000D+03,  1.000000000000D+00,  8.095613274544D+09,  7.214807840040D+00,  3.331852762420D+00, -3.650118796252D+00,  2.525381100989D+01,  2.119716733078D-01,  7.096084709650D+08,  5.079269416706D-03,  2.979022154034D-01,  5.079269416706D-03,  1.000000000000D+03,0
  2.500000000000D+03,  9.999992067733D-01,  8.087037787341D+09,  7.332695010421D+00,  3.332588471717D+00, -3.533166252308D+00,  2.525381100635D+01,  2.457004229301D-01,  7.005303870823D+08,  7.671388894580D-03,  2.950163620432D-01,  7.671388894580D-03,  1.505009252707D+03,0
  2.500000000000D+03,  9.999981866353D-01,  8.078575385725D+09,  7.448967712819D+00,  3.333681628382D+00, -3.418237201552D+00,  2.525381100035D+01,  2.853107397593D-01,  6.917063294007D+08,  1.152621531265D-02,  2.914862310184D-01,  1.152621531265D-02,  2.260013610823D+03,0
  2.500000000000D+03,  9.999968886702D-01,  8.070267261179D+09,  7.562931352763D+00,  3.335284662313D+00, -3.306175774220D+00,  2.525381099123D+01,  3.317883247998D-01,  6.832273763561D+08,  1.717045353921D-02,  2.876181207245D-01,  1.717045353921D-02,  3.378389043134D+03,0
  2.500000000000D+03,  9.999952611380D-01,  8.062165842287D+09,  7.673703492334D+00,  3.337591257431D+00, -3.198056710154D+00,  2.525381097820D+01,  3.862991409885D-01,  6.752155958019D+08,  2.525752911846D-02,  2.836356112609D-01,  2.525752911846D-02,  5.012901966766D+03,0
  2.500000000000D+03,  9.999932584724D-01,  8.054332047412D+09,  7.780255867403D+00,  3.340827086866D+00, -3.095128366138D+00,  2.525381096033D+01,  4.502549688383D-01,  6.678156315092D+08,  3.652040149265D-02,  2.799157087829D-01,  3.652040149265D-02,  7.359353684024D+03,0
  2.500000000000D+03,  9.999908498279D-01,  8.046828339564D+09,  7.881523465581D+00,  3.345225786616D+00, -2.998684599044D+00,  2.525381093660D+01,  5.254285998917D-01,  6.611757563802D+08,  5.167310503604D-02,  2.763429441664D-01,  5.167310503604D-02,  1.065490504696D+04,0
  2.500000000000D+03,  9.999880262374D-01,  8.039708657113D+09,  7.976566748084D+00,  3.350993266471D+00, -2.909861120060D+00,  2.525381090594D+01,  6.141417540634D-01,  6.554355097332D+08,  7.128432382601D-02,  2.727698252182D-01,  7.128432382601D-02,  1.517178491707D+04,0
  2.500000000000D+03,  9.999848030759D-01,  8.033008789225D+09,  8.064730486746D+00,  3.358272805092D+00, -2.829445770063D+00,  2.525381086724D+01,  7.195408933784D-01,  6.506960336758D+08,  9.568146928652D-02,  2.693610716862D-01,  9.568146928652D-02,  2.121131307570D+04,0
  2.500000000000D+03,  9.999812167166D-01,  8.026741290950D+09,  8.145729719642D+00,  3.367126179461D+00, -2.757766677594D+00,  2.525381081940D+01,  8.459668560524D-01,  6.470028386741D+08,  1.249432930148D-01,  2.660207106022D-01,  1.249432930148D-01,  2.910517327208D+04,0
  2.500000000000D+03,  9.999773175013D-01,  8.020897253461D+09,  8.219632742079D+00,  3.377537534811D+00, -2.694725248091D+00,  2.525381076126D+01,  9.994329186705D-01,  6.443509926244D+08,  1.589909798950D-01,  2.627465512876D-01,  1.589909798950D-01,  3.922827686105D+04,0
  2.500000000000D+03,  9.999731625821D-01,  8.015452499420D+09,  8.286767784580D+00,  3.389433988245D+00, -2.639898407101D+00,  2.525381069165D+01,  1.188260091898D+00,  6.427010318101D+08,  1.977339815056D-01,  2.588265820406D-01,  1.977339815056D-01,  5.202277172938D+04,0
  2.500000000000D+03,  9.999688110078D-01,  8.010374841989D+09,  8.347607100932D+00,  3.402711141831D+00, -2.592856458727D+00,  2.525381060765D+01,  1.423975144234D+00,  6.421453303065D+08,  2.412152251723D-01,  2.385024795667D-01,  2.385024975090D-01,  6.803034660349D+04,1
  2.500000000000D+03,  9.999639674076D-01,  8.005282870458D+09,  8.406738937719D+00,  3.416340907025D+00, -2.548177597332D+00,  2.525381050484D+01,  1.718072496690D+00,  6.421427966292D+08,  2.941430356453D-01,  2.237639195393D-01,  2.237640380644D-01,  8.947955922509D+04,1
  2.500000000000D+03,  9.999582759912D-01,  7.999887623934D+09,  8.467426455043D+00,  3.429588631894D+00, -2.501848839338D+00,  2.525381038025D+01,  2.082965101559D+00,  6.421405871675D+08,  3.629928272190D-01,  2.137150441119D-01,  2.137151917262D-01,  1.200065700250D+05,1
  2.500000000000D+03,  9.999516249652D-01,  7.994220132330D+09,  8.529191113754D+00,  3.442559753030D+00, -2.454381717091D+00,  2.525381023020D+01,  2.537490686822D+00,  6.421388346365D+08,  4.523800240849D-01,  2.069181732390D-01,  2.069183284911D-01,  1.634254189263D+05,1
  2.500000000000D+03,  9.999438844941D-01,  7.988303785535D+09,  8.591672581363D+00,  3.455333620811D+00, -2.406144100531D+00,  2.525381005032D+01,  3.106234851622D+00,  6.421372737402D+08,  5.684894755016D-01,  2.024378454521D-01,  2.024379985179D-01,  2.252260414739D+05,1
  2.500000000000D+03,  9.999349068670D-01,  7.982157138461D+09,  8.654587713377D+00,  3.467972574260D+00, -2.357445646591D+00,  2.525380983549D+01,  3.821420079095D+00,  6.421359727506D+08,  7.195747651320D-01,  1.996925600423D-01,  1.996927061763D-01,  3.133255450119D+05,1
  2.500000000000D+03,  9.999245240366D-01,  7.975794151966D+09,  8.717718799795D+00,  3.480524433014D+00, -2.308508174638D+00,  2.525380957973D+01,  4.725417579153D+00,  6.421348445289D+08,  9.166831346077D-01,  1.982374160109D-01,  1.982375530309D-01,  4.391962365950D+05,1
  2.500000000000D+03,  9.999125470492D-01,  7.969226160907D+09,  8.780891112482D+00,  3.493027545334D+00, -2.259518824637D+00,  2.525380927606D+01,  5.874231060654D+00,  6.421340105018D+08,  1.174613087942D+00,  1.978036229198D-01,  1.978037500061D-01,  6.195112116762D+05,1
  2.500000000000D+03,  9.998987608636D-01,  7.962460403408D+09,  8.843978312454D+00,  3.505509379613D+00, -2.210621052373D+00,  2.525380891632D+01,  7.342090236112D+00,  6.421334221038D+08,  1.513313892478D+00,  1.980302350428D-01,  1.980303521330D-01,  8.786601404221D+05,1
  2.500000000000D+03,  9.998829189023D-01,  7.955500317844D+09,  8.906898939040D+00,  3.517987306253D+00, -2.161889252067D+00,  2.525380849089D+01,  9.227679821339D+00,  6.421327864074D+08,  1.959824550595D+00,  1.987092424479D-01,  1.987093498678D-01,  1.252543787192D+06,1
  2.500000000000D+03,  9.998647409285D-01,  7.948346849191D+09,  8.969596954916D+00,  3.530472895060D+00, -2.113414365737D+00,  2.525380798846D+01,  1.166281843702D+01,  6.421325419134D+08,  2.550887144740D+00,  1.996195904943D-01,  1.996196887813D-01,  1.794216672865D+06,1
  2.500000000000D+03,  9.998439046089D-01,  7.940997496026D+09,  9.032046858903D+00,  3.542970662131D+00, -2.065213840255D+00,  2.525380739576D+01,  1.482403291056D+01,  6.421324842789D+08,  3.336732522415D+00,  2.006493940279D-01,  2.006494838005D-01,  2.582611020741D+06,1
  2.500000000000D+03,  9.998200446980D-01,  7.933448935587D+09,  9.094231369603D+00,  3.555483212724D+00, -2.017332634236D+00,  2.525380669722D+01,  1.894903994471D+01,  6.421325225205D+08,  4.386177562205D+00,  2.017732687960D-01,  2.017733507028D-01,  3.735531254920D+06,1
  2.500000000000D+03,  9.997927494761D-01,  7.925696971223D+09,  9.156135521204D+00,  3.568012458056D+00, -1.969789464822D+00,  2.525380587481D+01,  2.435952826519D+01,  6.421327114198D+08,  5.793834368643D+00,  2.029949066433D-01,  2.029949813210D-01,  5.429506027994D+06,1
  2.500000000000D+03,  9.997615482814D-01,  7.917735882297D+09,  9.217759486577D+00,  3.580556808375D+00, -1.922576166486D+00,  2.525380490736D+01,  3.149207817770D+01,  6.421327131739D+08,  7.690554833255D+00,  2.041328736993D-01,  2.041329417516D-01,  7.930776527245D+06,1
  2.500000000000D+03,  9.997259021644D-01,  7.909557565218D+09,  9.279115439187D+00,  3.593111655888D+00, -1.875755901086D+00,  2.525380376969D+01,  4.094121755049D+01,  6.421448890142D+08,  1.025812568582D+01,  2.028441896569D-01,  2.028442509379D-01,  1.164300100949D+07,1
  2.500000000000D+03,  9.996846851697D-01,  7.901051988957D+09,  9.340938002034D+00,  3.605502093328D+00, -1.828777997529D+00,  2.525380240731D+01,  5.342907869173D+01,  6.421458594677D+08,  1.377089933548D+01,  1.978676782679D-01,  1.978677325021D-01,  1.724608560076D+07,1
  2.500000000000D+03,  9.996368935167D-01,  7.892182903587D+09,  9.403340361549D+00,  3.617696700626D+00, -1.781659634608D+00,  2.525380078205D+01,  6.995068243075D+01,  6.421459964771D+08,  1.860457021057D+01,  1.930020167295D-01,  1.930020647675D-01,  2.575748478547D+07,1
  2.500000000000D+03,  9.995814547521D-01,  7.882932315409D+09,  9.466285276953D+00,  3.629698765357D+00, -1.734431764544D+00,  2.525379884349D+01,  9.185136993808D+01,  6.421458814057D+08,  2.528553389776D+01,  1.884249413928D-01,  1.884249840089D-01,  3.873342889824D+07,1
  2.500000000000D+03,  9.995171706715D-01,  7.873288392637D+09,  9.529691366040D+00,  3.641521803578D+00, -1.687176652701D+00,  2.525379653353D+01,  1.209475765413D+02,  6.421448460422D+08,  3.455598030260D+01,  1.847520064273D-01,  1.847520443153D-01,  5.856670926227D+07,1
  2.500000000000D+03,  9.994427509620D-01,  7.863248205639D+09,  9.593413846314D+00,  3.653194122204D+00, -1.640049299299D+00,  2.525379378550D+01,  1.597180262220D+02,  6.421443775851D+08,  4.746164387341D+01,  1.817138166088D-01,  1.817138503868D-01,  8.892070834549D+07,1
  2.500000000000D+03,  9.993566825449D-01,  7.852801234165D+09,  9.657363836522D+00,  3.664730726039D+00, -1.593096967632D+00,  2.525379052138D+01,  2.115124044730D+02,  6.421424108940D+08,  6.548810087434D+01,  1.793925091792D-01,  1.793925393876D-01,  1.354671163440D+08,1
  2.500000000000D+03,  9.992573615724D-01,  7.841947088366D+09,  9.721391085101D+00,  3.676161219854D+00, -1.546503129299D+00,  2.525378665233D+01,  2.809417664385D+02,  6.421412812770D+08,  9.073762995442D+01,  1.778793930104D-01,  1.778794201186D-01,  2.069004510793D+08,1
  2.500000000000D+03,  9.991430079838D-01,  7.830683951705D+09,  9.785361364902D+00,  3.687511421602D+00, -1.500331166696D+00,  2.525378207857D+01,  3.743433666817D+02,  6.421403891817D+08,  1.261989863182D+02,  1.771662330287D-01,  1.771662574350D-01,  3.166254591570D+08,1
  2.500000000000D+03,  9.990116876719D-01,  7.819012718180D+09,  9.849140166381D+00,  3.698807560516D+00, -1.454718798779D+00,  2.525377668700D+01,  5.004894786318D+02,  6.421397223495D+08,  1.761272747832D+02,  1.771852892231D-01,  1.771853112696D-01,  4.852995748312D+08,1
  2.500000000000D+03,  9.988612439037D-01,  7.806929233604D+09,  9.912624245389D+00,  3.710068174935D+00, -1.409738532918D+00,  2.525377034771D+01,  6.715225070593D+02,  6.421391999639D+08,  2.465999163696D+02,  1.776461013426D-01,  1.776461213246D-01,  7.448976748984D+08,1
  2.500000000000D+03,  9.986892380427D-01,  7.794424270178D+09,  9.975748369877D+00,  3.721302641206D+00, -1.365447676344D+00,  2.525376291039D+01,  9.042592557180D+02,  6.421386787034D+08,  3.463210817585D+02,  1.784020709028D-01,  1.784020890739D-01,  1.145101732532D+09,1
  2.500000000000D+03,  9.984930118812D-01,  7.781487615235D+09,  1.003844628658D+01,  3.732520139106D+00, -1.321938500043D+00,  2.525375420357D+01,  1.222145031769D+03,  6.421382223881D+08,  4.877679625299D+02,  1.795091926365D-01,  1.795092092127D-01,  1.763026919469D+09,1
  2.500000000000D+03,  9.982696735468D-01,  7.768109935715D+09,  1.010065513242D+01,  3.743729068477D+00, -1.279207457202D+00,  2.525374403442D+01,  1.657991101095D+03,  6.421379046922D+08,  6.888629566574D+02,  1.809168602921D-01,  1.809168754593D-01,  2.718560125734D+09,1
  2.500000000000D+03,  9.980160424291D-01,  7.754279601334D+09,  1.016232732850D+01,  3.754933917262D+00, -1.237331128344D+00,  2.525373218370D+01,  2.257784653011D+03,  6.421377044581D+08,  9.754038344584D+02,  1.824910925264D-01,  1.824911064469D-01,  4.198605458451D+09,1
  2.500000000000D+03,  9.977286231899D-01,  7.739981517391D+09,  1.022342844425D+01,  3.766135460334D+00, -1.196307067819D+00,  2.525371840298D+01,  3.086107111909D+03,  6.421375697761D+08,  1.384583624037D+03,  1.841942694379D-01,  1.841942822550D-01,  6.495103945568D+09,1
  2.500000000000D+03,  9.974036958437D-01,  7.725204512215D+09,  1.028391454003D+01,  3.777336960551D+00, -1.156149305720D+00,  2.525370241688D+01,  4.234224298719D+03,  6.421375996798D+08,  1.970097059083D+03,  1.861941194555D-01,  1.861941312922D-01,  1.006372653673D+10,1
  2.500000000000D+03,  9.970372162325D-01,  7.709934909368D+09,  1.034375354525D+01,  3.788538403949D+00, -1.116879480282D+00,  2.525368391528D+01,  5.831156361781D+03,  6.421376721048D+08,  2.809588932619D+03,  1.881861868475D-01,  1.881861978088D-01,  1.561779661620D+10,1
  2.500000000000D+03,  9.966246847681D-01,  7.694153412418D+09,  1.040293809867D+01,  3.799733104266D+00, -1.078477335890D+00,  2.525366254381D+01,  8.059074018140D+03,  6.421375027104D+08,  4.015478928701D+03,  1.901289425441D-01,  1.901289527216D-01,  2.427762744872D+10,1
  2.500000000000D+03,  9.961612476085D-01,  7.677840539233D+09,  1.046146035066D+01,  3.810914077087D+00, -1.040959002076D+00,  2.525363790452D+01,  1.117606465721D+04,  6.421378329779D+08,  5.750648603636D+03,  1.919204960410D-01,  1.919205055130D-01,  3.780170856303D+10,1
  2.500000000000D+03,  9.956414661213D-01,  7.660969254940D+09,  1.051933549467D+01,  3.822067515918D+00, -1.004298475828D+00,  2.525360954796D+01,  1.554633060404D+04,  6.421382713741D+08,  8.251169779265D+03,  1.934259092466D-01,  1.934259180815D-01,  5.895960198781D+10,1
  2.500000000000D+03,  9.950597929297D-01,  7.643522238505D+09,  1.057654383368D+01,  3.833188593040D+00, -9.684970331684D-01,  2.525357699768D+01,  2.168842928886D+04,  6.421385053899D+08,  1.185935318179D+04,  1.953822693062D-01,  1.953822775613D-01,  9.209036975982D+10,1
  2.500000000000D+03,  9.944106205679D-01,  7.625489588844D+09,  1.063304394699D+01,  3.844278332937D+00, -9.335820254355D-01,  2.525353972640D+01,  3.034323548842D+04,  6.421390314565D+08,  1.707190935847D+04,  1.970666332009D-01,  1.970666409250D-01,  1.439859212722D+11,1
  2.500000000000D+03,  9.936871918035D-01,  7.606839016243D+09,  1.068886562684D+01,  3.855317532082D+00, -8.995326162056D-01,  2.525349704977D+01,  4.255247622722D+04,  6.421382363143D+08,  2.460839646657D+04,  1.982572813959D-01,  1.982572886296D-01,  2.253792472060D+11,1
  2.500000000000D+03,  9.928811807639D-01,  7.587510596433D+09,  1.074410156655D+01,  3.866267075259D+00, -8.663941807328D-01,  2.525344832804D+01,  5.976085165138D+04,  6.421375276570D+08,  3.550722347451D+04,  1.983675256917D-01,  1.983675324805D-01,  3.532781512275D+11,1
  2.500000000000D+03,  9.919851633328D-01,  7.567477111167D+09,  1.079872764009D+01,  3.877119240746D+00, -8.341880891330D-01,  2.525339278279D+01,  8.402212055762D+04,  6.421368985547D+08,  5.126813773446D+04,  1.991109334521D-01,  1.991109398440D-01,  5.541022546615D+11,1
  2.500000000000D+03,  9.909927246776D-01,  7.546739141013D+09,  1.085265121996D+01,  3.887886818080D+00, -8.029159406264D-01,  2.525332967844D+01,  1.182767397707D+05,  6.421423768772D+08,  7.405904814764D+04,  1.993925252737D-01,  1.993925313097D-01,  8.687090695142D+11,1
