# M_MTOT,R_RTOT,MATM_MTOT,RATM_RTOT,M_G,R_CM,REQ_CM,P_CGS,T_K,RHO_GCC,L_CGS,S_CGS,KROSS_CGS,GRADT,GRADAD,GRADRAD,TAUV,VSOUND_CGS,CP_CGS,X,Y,Z
 9.99897579769D-01, 9.81113057999D-01,-1.02420230604D-04,-1.88869420013D-02, 2.27736672768D+30, 8.68455751867D+09, 0.00000000000D+00, 4.99674918618D+08, 3.60717816240D+03, 3.89934374676D-03, 1.00000000000D+00, 6.78942249659D+08, 1.17414561402D+01, 1.85941644654D-01, 1.85941281706D-01, 5.99928152006D+00, 1.15715627652D+06, 4.01575720972D+05, 2.22417355571D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99881091364D-01, 9.80029641476D-01,-1.18908636001D-04,-1.99703585239D-02, 2.27732917369D+30, 8.67496739750D+09, 0.00000000000D+00, 5.79771305519D+08, 3.70913918092D+03, 4.38780546121D-03, 1.00000000000D+00, 6.78941797490D+08, 1.50722676055D+01, 1.89092720525D-01, 1.89092391461D-01, 7.99300452689D+00, 1.68665743693D+06, 4.08239965137D+05, 2.22422972407D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99862232900D-01, 9.78925221889D-01,-1.37767099974D-04,-2.10747781112D-02, 2.27728622165D+30, 8.66519136266D+09, 0.00000000000D+00, 6.71787584083D+08, 3.81480428918D+03, 4.93069517622D-03, 1.00000000000D+00, 6.78941953637D+08, 1.94653148770D+01, 1.92253444087D-01, 1.92253145413D-01, 1.06900519075D+01, 2.46816537594D+06, 4.15026719855D+05, 2.22061534195D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99840688167D-01, 9.77799121084D-01,-1.59311832817D-04,-2.22008789156D-02, 2.27723715137D+30, 8.65522341134D+09, 0.00000000000D+00, 7.77387328111D+08, 3.92426388790D+03, 5.53313023000D-03, 1.00000000000D+00, 6.78951221323D+08, 2.52917323605D+01, 1.94009183000D-01, 1.94008913866D-01, 1.43538377785D+01, 3.62736545240D+06, 4.22262055980D+05, 2.22814496858D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99815927306D-01, 9.76642758371D-01,-1.84072694203D-04,-2.33572416293D-02, 2.27718075603D+30, 8.64498758946D+09, 0.00000000000D+00, 8.99315317989D+08, 4.03663119508D+03, 6.20411652178D-03, 1.00000000000D+00, 6.78953429058D+08, 3.30261307418D+01, 1.93132569212D-01, 1.93132329498D-01, 1.93681869453D+01, 5.36682237808D+06, 4.30104480422D+05, 2.25718418553D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99787374987D-01, 9.75450454962D-01,-2.12625013422D-04,-2.45495450377D-02, 2.27711572527D+30, 8.63443362991D+09, 0.00000000000D+00, 1.04058775470D+09, 4.15140842700D+03, 6.95371333342D-03, 1.00000000000D+00, 6.78955181125D+08, 4.33096959239D+01, 1.90884645624D-01, 1.90884432621D-01, 2.62718083911D+01, 7.99808914243D+06, 4.37957136750D+05, 2.29275279812D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99754370590D-01, 9.74217723064D-01,-2.45629409777D-04,-2.57822769357D-02, 2.27704055446D+30, 8.62352180789D+09, 0.00000000000D+00, 1.20469838080D+09, 4.26823277860D+03, 7.79325785663D-03, 1.00000000000D+00, 6.78956298309D+08, 5.70035101892D+01, 1.87984167337D-01, 1.87983978340D-01, 3.58269509462D+01, 1.20042699171D+07, 4.46155822683D+05, 2.33258138151D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99716164302D-01, 9.72941168189D-01,-2.83835697534D-04,-2.70588318109D-02, 2.27695353582D+30, 8.61222207627D+09, 0.00000000000D+00, 1.39565080842D+09, 4.38688210531D+03, 8.73454274808D-03, 1.00000000000D+00, 6.78956908882D+08, 7.52684157542D+01, 1.84655868896D-01, 1.84655701292D-01, 4.91139202557D+01, 1.81342979583D+07, 4.54483340130D+05, 2.37470037566D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99671889064D-01, 9.71617849963D-01,-3.28110935707D-04,-2.83821500369D-02, 2.27685269453D+30, 8.60050840764D+09, 0.00000000000D+00, 1.61811416655D+09, 4.50718625568D+03, 9.79124133472D-03, 1.00000000000D+00, 6.78955780402D+08, 9.96666950830D+01, 1.81337637310D-01, 1.81337488669D-01, 6.76698692883D+01, 2.75534403024D+07, 4.63158230006D+05, 2.41753337909D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99620594897D-01, 9.70246396614D-01,-3.79405103411D-04,-2.97536033857D-02, 2.27673586694D+30, 8.58836865943D+09, 0.00000000000D+00, 1.87726784428D+09, 4.62918307608D+03, 1.09756673466D-02, 1.00000000000D+00, 6.78955745670D+08, 1.32328545187D+02, 1.78254526570D-01, 1.78254394636D-01, 9.36791147615D+01, 4.20638525010D+07, 4.72208087306D+05, 2.45942125680D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99561174013D-01, 9.68824995049D-01,-4.38825986570D-04,-3.11750049512D-02, 2.27660052993D+30, 8.57578678260D+09, 0.00000000000D+00, 2.17919894342D+09, 4.75286250260D+03, 1.23030553358D-02, 1.00000000000D+00, 6.78955679611D+08, 1.76133728193D+02, 1.75406021854D-01, 1.75405904576D-01, 1.30264071330D+02, 6.44759640212D+07, 4.81599341182D+05, 2.49876514011D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99492397618D-01, 9.67352716334D-01,-5.07602382335D-04,-3.26472836660D-02, 2.27644388481D+30, 8.56275455448D+09, 0.00000000000D+00, 2.53074066529D+09, 4.87833509593D+03, 1.37871342321D-02, 1.00000000000D+00, 6.78955097592D+08, 2.35019002927D+02, 1.73163306668D-01, 1.73163202183D-01, 1.81886402469D+02, 9.91526808842D+07, 4.91647664590D+05, 2.53390477192D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99412904130D-01, 9.65829102610D-01,-5.87095869688D-04,-3.41708973903D-02, 2.27626283045D+30, 8.54926792222D+09, 0.00000000000D+00, 2.93955667202D+09, 5.00579121960D+03, 1.54431118719D-02, 1.00000000000D+00, 6.78954259467D+08, 3.14388673940D+02, 1.71447212587D-01, 1.71447119245D-01, 2.54934416022D+02, 1.52870317762D+08, 5.01929693467D+05, 2.56376143313D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99321199695D-01, 9.64254328963D-01,-6.78800305324D-04,-3.57456710371D-02, 2.27605396442D+30, 8.53532843563D+09, 0.00000000000D+00, 3.41416523185D+09, 5.13550030368D+03, 1.72857118651D-02, 1.00000000000D+00, 6.78952556944D+08, 4.21708893010D+02, 1.70633074243D-01, 1.70632990602D-01, 3.58572334210D+02, 2.36151945607D+08, 5.13016690990D+05, 2.58774660475D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99215698552D-01, 9.62629478482D-01,-7.84301448202D-04,-3.73705215183D-02, 2.27581367502D+30, 8.52094568193D+09, 0.00000000000D+00, 3.96375610002D+09, 5.26786733086D+03, 1.93278551723D-02, 1.00000000000D+00, 6.78951552987D+08, 5.67407341710D+02, 1.70518664101D-01, 1.70518588916D-01, 5.05963200611D+02, 3.65300939951D+08, 5.24373687904D+05, 2.60584835477D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99094617782D-01, 9.60954982691D-01,-9.05382217705D-04,-3.90450173090D-02, 2.27553790146D+30, 8.50612348087D+09, 0.00000000000D+00, 4.59876785832D+09, 5.40320748771D+03, 2.15854537890D-02, 1.00000000000D+00, 6.78950360390D+08, 7.65990128772D+02, 1.71082831764D-01, 1.71082763951D-01, 7.16089130175D+02, 5.65756809694D+08, 5.36352700401D+05, 2.61761777744D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.98956032983D-01, 9.59231470085D-01,-1.04396701702D-03,-4.07685299154D-02, 2.27522226072D+30, 8.49086739571D+09, 0.00000000000D+00, 5.33063505830D+09, 5.54187200000D+03, 2.40705495747D-02, 1.00000000000D+00, 6.78949478950D+08, 1.03783327872D+03, 1.72218970067D-01, 1.72218908694D-01, 1.01636529671D+03, 8.77160213295D+08, 5.48846820578D+05, 2.62345291620D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.98797839022D-01, 9.57459322914D-01,-1.20216097814D-03,-4.25406770864D-02, 2.27486195816D+30, 8.47518081004D+09, 0.00000000000D+00, 6.17203303716D+09, 5.68418275921D+03, 2.67992972410D-02, 1.00000000000D+00, 6.78948588640D+08, 1.41163648208D+03, 1.73916254501D-01, 1.73916198772D-01, 1.44649524598D+03, 1.36148777522D+09, 5.61700740471D+05, 2.62360915781D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
